0,1,2,3,4,5,6,7,8,9,10
beverages,sugar,,,,,,,,,
butter,bottled water,bottled water,,,,,,,,
red/blush wine,dog food,,,,,,,,,
chicken,UHT-milk,napkins,,,,,,,,
whole milk,spices,photo/film,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
beef,pastry,specialty chocolate,,,,,,,,
beef,candles,,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
other vegetables,dishes,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
specialty bar,specialty chocolate,,,,,,,,,
yogurt,canned beer,,,,,,,,,
red/blush wine,bottled water,,,,,,,,,
beverages,coffee,,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
other vegetables,shopping bags,,,,,,,,,
brown bread,pet care,,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
other vegetables,curd,,,,,,,,,
seasonal products,rolls/buns,,,,,,,,,
yogurt,whole milk,,,,,,,,,
soda,root vegetables,,,,,,,,,
whole milk,chocolate,roll products ,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
soda,bottled water,butter,,,,,,,,
brown bread,whole milk,,,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
processed cheese,mayonnaise,shopping bags,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
other vegetables,frankfurter,napkins,pastry,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
yogurt,root vegetables,,,,,,,,,
salty snack,chocolate,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
whole milk,yogurt,,,,,,,,,
prosecco,rolls/buns,specialty chocolate,white bread,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
canned beer,napkins,rolls/buns,,,,,,,,
berries,curd,,,,,,,,,
sausage,pasta,bottled water,,,,,,,,
root vegetables,rolls/buns,whole milk,,,,,,,,
frankfurter,mustard,,,,,,,,,
ice cream,other vegetables,misc. beverages,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
coffee,chicken,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
brown bread,dessert,,,,,,,,,
newspapers,canned beer,,,,,,,,,
sausage,house keeping products,,,,,,,,,
dishes,oil,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
ice cream,napkins,,,,,,,,,
grapes,frozen vegetables,vinegar,,,,,,,,
chocolate,whole milk,hamburger meat,other vegetables,,,,,,,
bottled water,domestic eggs,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
salty snack,napkins,sugar,,,,,,,,
meat,butter milk,,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
butter milk,soda,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
pork,bottled water,,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,domestic eggs,rolls/buns,long life bakery product,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
pastry,ketchup,,,,,,,,,
meat,UHT-milk,,,,,,,,,
pork,condensed milk,oil,,,,,,,,
photo/film,frozen potato products,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
bottled beer,whole milk,citrus fruit,other vegetables,soft cheese,,,,,,
domestic eggs,shopping bags,,,,,,,,,
root vegetables,soda,,,,,,,,,
salty snack,canned beer,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
chicken,margarine,long life bakery product,,,,,,,,
citrus fruit,citrus fruit,specialty chocolate,cream cheese ,,,,,,,
canned beer,yogurt,rolls/buns,whole milk,,,,,,,
yogurt,beef,,,,,,,,,
chicken,soda,shopping bags,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
napkins,pastry,,,,,,,,,
whole milk,coffee,,,,,,,,,
berries,other vegetables,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
pastry,whole milk,,,,,,,,,
dessert,pot plants,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
newspapers,whole milk,,,,,,,,,
sausage,hair spray,canned beer,,,,,,,,
rolls/buns,baby cosmetics,,,,,,,,,
bottled water,frankfurter,dessert,root vegetables,,,,,,,
coffee,whole milk,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
roll products ,oil,UHT-milk,,,,,,,,
frankfurter,ketchup,,,,,,,,,
pip fruit,dessert,sauces,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
root vegetables,yogurt,bottled water,,,,,,,,
soda,pork,,,,,,,,,
onions,margarine,,,,,,,,,
white wine,soft cheese,,,,,,,,,
root vegetables,liquor,,,,,,,,,
canned beer,honey,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
yogurt,chewing gum,whipped/sour cream,shopping bags,,,,,,,
sausage,brown bread,,,,,,,,,
margarine,cereals,,,,,,,,,
tropical fruit,citrus fruit,soda,,,,,,,,
bottled water,whole milk,,,,,,,,,
dog food,processed cheese,,,,,,,,,
curd,soda,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
tropical fruit,soft cheese,shopping bags,,,,,,,,
root vegetables,berries,,,,,,,,,
pastry,bottled beer,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
rolls/buns,butter milk,fruit/vegetable juice,,,,,,,,
ham,grapes,,,,,,,,,
cleaner,pastry,,,,,,,,,
meat,liver loaf,,,,,,,,,
frozen vegetables,bottled beer,soda,rolls/buns,,,,,,,
newspapers,napkins,,,,,,,,,
sugar,kitchen towels,,,,,,,,,
pastry,vinegar,salty snack,,,,,,,,
bottled water,whole milk,whole milk,frozen vegetables,,,,,,,
pip fruit,pudding powder,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
snack products,mayonnaise,bottled water,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
other vegetables,butter,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
whole milk,whole milk,,,,,,,,,
bottled water,sausage,whole milk,margarine,,,,,,,
tropical fruit,oil,,,,,,,,,
spread cheese,other vegetables,whole milk,,,,,,,,
chicken,tropical fruit,,,,,,,,,
root vegetables,canned beer,specialty cheese,rolls/buns,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
beef,bottled water,,,,,,,,,
rolls/buns,brown bread,canned beer,,,,,,,,
whole milk,sauces,,,,,,,,,
soda,yogurt,white bread,,,,,,,,
finished products,newspapers,,,,,,,,,
sausage,curd,margarine,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
canned beer,flour,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
white bread,flour,,,,,,,,,
cleaner,shopping bags,,,,,,,,,
napkins,bottled water,,,,,,,,,
napkins,butter,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
frozen meals,mayonnaise,whipped/sour cream,,,,,,,,
berries,dog food,,,,,,,,,
ham,female sanitary products,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
whole milk,yogurt,,,,,,,,,
root vegetables,mustard,,,,,,,,,
shopping bags,pork,canned fish,whole milk,onions,bottled beer,canned beer,,,,
Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
pip fruit,chocolate,brown bread,,,,,,,,
whole milk,yogurt,,,,,,,,,
newspapers,salty snack,,,,,,,,,
beef,chocolate,,,,,,,,,
citrus fruit,brown bread,ketchup,,,,,,,,
sausage,coffee,female sanitary products,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
curd,dessert,,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
misc. beverages,whipped/sour cream,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pickled vegetables,yogurt,,,,,,,,,
frankfurter,butter,red/blush wine,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
butter,waffles,,,,,,,,,
sausage,fruit/vegetable juice,bottled water,,,,,,,,
whipped/sour cream,seasonal products,,,,,,,,,
misc. beverages,soda,,,,,,,,,
other vegetables,dog food,,,,,,,,,
meat,detergent,roll products ,,,,,,,,
curd,tropical fruit,,,,,,,,,
salt,soda,rolls/buns,,,,,,,,
meat,salt,,,,,,,,,
frozen vegetables,margarine,,,,,,,,,
frozen vegetables,soft cheese,,,,,,,,,
rolls/buns,condensed milk,whole milk,soda,,,,,,,
turkey,shopping bags,whole milk,,,,,,,,
other vegetables,whole milk,,,,,,,,,
spread cheese,specialty bar,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,curd,rolls/buns,rolls/buns,,,,,,,
pip fruit,bottled water,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
whole milk,bottled beer,,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
whole milk,berries,canned beer,sausage,chicken,canned beer,zwieback,beverages,,,
onions,hamburger meat,whole milk,tropical fruit,pet care,root vegetables,yogurt,flour,,,
tropical fruit,hard cheese,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
root vegetables,sausage,cream cheese ,yogurt,detergent,,,,,,
curd,yogurt,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
root vegetables,bottled beer,fruit/vegetable juice,,,,,,,,
tropical fruit,tropical fruit,napkins,,,,,,,,
rolls/buns,root vegetables,yogurt,,,,,,,,
canned beer,sugar,,,,,,,,,
bottled beer,hamburger meat,other vegetables,,,,,,,,
pastry,whole milk,,,,,,,,,
other vegetables,waffles,,,,,,,,,
curd,pip fruit,,,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
soda,yogurt,brown bread,,,,,,,,
tropical fruit,ice cream,,,,,,,,,
cream cheese ,brown bread,,,,,,,,,
other vegetables,soda,soda,napkins,,,,,,,
sliced cheese,dessert,shopping bags,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pastry,brown bread,,,,,,,,,
tropical fruit,grapes,whole milk,pastry,white bread,,,,,,
